FA,Dhtl,Lhsnl
188,Dhtl_188,32
189,Dhtl_189,77
190,Dhtl_190,87
191,Dhtl_191,90
192,Dhtl_192,71
193,Dhtl_193,36
194,Dhtl_194,98
195,Dhtl_195,49
196,Dhtl_196,75
197,Dhtl_197,96
198,Dhtl_198,11
199,Dhtl_199,53
200,Dhtl_200,81
201,Dhtl_201,61
202,Dhtl_202,89
203,Dhtl_203,3
204,Dhtl_204,83
205,Dhtl_205,78
206,Dhtl_206,77
207,Dhtl_207,76
208,Dhtl_208,17
209,Dhtl_209,52
210,Dhtl_210,95
211,Dhtl_211,35
212,Dhtl_212,95
213,Dhtl_213,39
214,Dhtl_214,53
215,Dhtl_215,26
216,Dhtl_216,23
217,Dhtl_217,1
218,Dhtl_218,35
219,Dhtl_219,2
220,Dhtl_220,4
221,Dhtl_221,9
222,Dhtl_222,47
223,Dhtl_223,33
224,Dhtl_224,80
225,Dhtl_225,74
226,Dhtl_226,33
227,Dhtl_227,30
228,Dhtl_228,68
229,Dhtl_229,6
230,Dhtl_230,59
231,Dhtl_231,41
232,Dhtl_232,5
233,Dhtl_233,5
234,Dhtl_234,69
235,Dhtl_235,44
236,Dhtl_236,34
237,Dhtl_237,72
238,Dhtl_238,18
239,Dhtl_239,37
240,Dhtl_240,92
241,Dhtl_241,68
242,Dhtl_242,53
243,Dhtl_243,32
244,Dhtl_244,79
245,Dhtl_245,13
246,Dhtl_246,69
247,Dhtl_247,81
248,Dhtl_248,97
249,Dhtl_249,68
250,Dhtl_250,97
251,Dhtl_251,30
252,Dhtl_252,33
253,Dhtl_253,51
254,Dhtl_254,6
255,Dhtl_255,94
256,Dhtl_256,82
257,Dhtl_257,96
258,Dhtl_258,86
259,Dhtl_259,71
260,Dhtl_260,69
261,Dhtl_261,72
262,Dhtl_262,3
263,Dhtl_263,91
264,Dhtl_264,95
265,Dhtl_265,28
266,Dhtl_266,63
267,Dhtl_267,26
268,Dhtl_268,20
269,Dhtl_269,78
270,Dhtl_270,37
271,Dhtl_271,69
272,Dhtl_272,27
273,Dhtl_273,92
274,Dhtl_274,56
275,Dhtl_275,84
276,Dhtl_276,41
277,Dhtl_277,38
278,Dhtl_278,15
279,Dhtl_279,6
280,Dhtl_280,5
281,Dhtl_281,2
282,Dhtl_282,13
283,Dhtl_283,40
284,Dhtl_284,55
285,Dhtl_285,96
286,Dhtl_286,74
287,Dhtl_287,88
288,Dhtl_288,72
289,Dhtl_289,65
290,Dhtl_290,51
291,Dhtl_291,20
292,Dhtl_292,76
293,Dhtl_293,67
294,Dhtl_294,29
295,Dhtl_295,12
296,Dhtl_296,54
297,Dhtl_297,9
298,Dhtl_298,21
299,Dhtl_299,98
300,Dhtl_300,66
301,Dhtl_301,19
302,Dhtl_302,50
303,Dhtl_303,42
304,Dhtl_304,30
305,Dhtl_305,99
306,Dhtl_306,15
307,Dhtl_307,83
308,Dhtl_308,86
309,Dhtl_309,93
310,Dhtl_310,1
311,Dhtl_311,58
312,Dhtl_312,76
313,Dhtl_313,83
314,Dhtl_314,59
315,Dhtl_315,67
316,Dhtl_316,11
317,Dhtl_317,62
318,Dhtl_318,84
319,Dhtl_319,71
320,Dhtl_320,67
321,Dhtl_321,89
322,Dhtl_322,52
323,Dhtl_323,58
324,Dhtl_324,95
325,Dhtl_325,56
326,Dhtl_326,50
327,Dhtl_327,7
328,Dhtl_328,88
329,Dhtl_329,49
330,Dhtl_330,51
331,Dhtl_331,47
332,Dhtl_332,67
333,Dhtl_333,26
334,Dhtl_334,46
335,Dhtl_335,57
336,Dhtl_336,48
337,Dhtl_337,3
338,Dhtl_338,69
339,Dhtl_339,40
340,Dhtl_340,12
341,Dhtl_341,30
342,Dhtl_342,14
343,Dhtl_343,43
344,Dhtl_344,45
345,Dhtl_345,17
346,Dhtl_346,74
347,Dhtl_347,55
348,Dhtl_348,74
349,Dhtl_349,38
350,Dhtl_350,28
351,Dhtl_351,79
352,Dhtl_352,19
353,Dhtl_353,6
354,Dhtl_354,63
355,Dhtl_355,90
356,Dhtl_356,61
357,Dhtl_357,40
358,Dhtl_358,95
359,Dhtl_359,69
360,Dhtl_360,8
361,Dhtl_361,13
362,Dhtl_362,65
363,Dhtl_363,24
364,Dhtl_364,87
365,Dhtl_365,11
366,Dhtl_366,70
367,Dhtl_367,93
368,Dhtl_368,51
369,Dhtl_369,69
370,Dhtl_370,16
371,Dhtl_371,32
372,Dhtl_372,83
373,Dhtl_373,3
374,Dhtl_374,84
375,Dhtl_375,54
376,Dhtl_376,19
377,Dhtl_377,87
378,Dhtl_378,69
379,Dhtl_379,61
380,Dhtl_380,75
381,Dhtl_381,50
382,Dhtl_382,58
383,Dhtl_383,81
384,Dhtl_384,67
385,Dhtl_385,44
386,Dhtl_386,17
387,Dhtl_387,47
388,Dhtl_388,42
389,Dhtl_389,5
390,Dhtl_390,44
391,Dhtl_391,47
392,Dhtl_392,2
393,Dhtl_393,84
394,Dhtl_394,23
395,Dhtl_395,7
396,Dhtl_396,82
397,Dhtl_397,72
398,Dhtl_398,10
399,Dhtl_399,39
400,Dhtl_400,45
401,Dhtl_401,14
402,Dhtl_402,99
403,Dhtl_403,85
404,Dhtl_404,73
405,Dhtl_405,40
406,Dhtl_406,56
407,Dhtl_407,72
408,Dhtl_408,65
409,Dhtl_409,93
410,Dhtl_410,91
411,Dhtl_411,13
412,Dhtl_412,37
413,Dhtl_413,81
414,Dhtl_414,34
415,Dhtl_415,76
416,Dhtl_416,56
417,Dhtl_417,35
418,Dhtl_418,15
419,Dhtl_419,92
420,Dhtl_420,36
421,Dhtl_421,57
422,Dhtl_422,98
423,Dhtl_423,19
424,Dhtl_424,29
425,Dhtl_425,59
426,Dhtl_426,8
427,Dhtl_427,38
428,Dhtl_428,18
429,Dhtl_429,62
430,Dhtl_430,77
431,Dhtl_431,45
432,Dhtl_432,35
433,Dhtl_433,5
434,Dhtl_434,76
435,Dhtl_435,63
436,Dhtl_436,73
437,Dhtl_437,15
438,Dhtl_438,35
439,Dhtl_439,73
440,Dhtl_440,21
441,Dhtl_441,83
442,Dhtl_442,91
443,Dhtl_443,40
444,Dhtl_444,60
445,Dhtl_445,57
446,Dhtl_446,45
447,Dhtl_447,44
448,Dhtl_448,75
449,Dhtl_449,98
450,Dhtl_450,7
451,Dhtl_451,96
452,Dhtl_452,86
453,Dhtl_453,59
454,Dhtl_454,64
455,Dhtl_455,7
456,Dhtl_456,28
457,Dhtl_457,39
458,Dhtl_458,52
459,Dhtl_459,28
460,Dhtl_460,20
461,Dhtl_461,8
462,Dhtl_462,73
463,Dhtl_463,75
464,Dhtl_464,98
465,Dhtl_465,44
466,Dhtl_466,59
467,Dhtl_467,55
468,Dhtl_468,1
469,Dhtl_469,32
470,Dhtl_470,60
471,Dhtl_471,29
472,Dhtl_472,98
473,Dhtl_473,66
474,Dhtl_474,18
475,Dhtl_475,53
476,Dhtl_476,13
477,Dhtl_477,37
478,Dhtl_478,8
479,Dhtl_479,56
480,Dhtl_480,1
481,Dhtl_481,80
482,Dhtl_482,50
483,Dhtl_483,83
484,Dhtl_484,40
485,Dhtl_485,71
486,Dhtl_486,23
487,Dhtl_487,26
488,Dhtl_488,51
489,Dhtl_489,26
490,Dhtl_490,37
491,Dhtl_491,80
492,Dhtl_492,8
493,Dhtl_493,62
494,Dhtl_494,32
495,Dhtl_495,88
496,Dhtl_496,18
497,Dhtl_497,6
498,Dhtl_498,45
499,Dhtl_499,44
500,Dhtl_500,31
501,Dhtl_501,42
502,Dhtl_502,42
503,Dhtl_503,13
504,Dhtl_504,30
505,Dhtl_505,79
506,Dhtl_506,60
507,Dhtl_507,2
508,Dhtl_508,27
509,Dhtl_509,65
510,Dhtl_510,70
511,Dhtl_511,21
512,Dhtl_512,36
513,Dhtl_513,24
514,Dhtl_514,51
515,Dhtl_515,51
516,Dhtl_516,70
517,Dhtl_517,39
518,Dhtl_518,76
519,Dhtl_519,16
520,Dhtl_520,27
521,Dhtl_521,87
522,Dhtl_522,30
523,Dhtl_523,51
524,Dhtl_524,50
525,Dhtl_525,28
526,Dhtl_526,77
527,Dhtl_527,16
528,Dhtl_528,31
529,Dhtl_529,37
530,Dhtl_530,16
531,Dhtl_531,47
532,Dhtl_532,63
533,Dhtl_533,80
534,Dhtl_534,53
535,Dhtl_535,68
536,Dhtl_536,32
537,Dhtl_537,37
538,Dhtl_538,27
539,Dhtl_539,28
540,Dhtl_540,1
541,Dhtl_541,63
542,Dhtl_542,1
543,Dhtl_543,31
544,Dhtl_544,12
545,Dhtl_545,63
546,Dhtl_546,58
547,Dhtl_547,43
548,Dhtl_548,57
549,Dhtl_549,92
550,Dhtl_550,87
551,Dhtl_551,15
552,Dhtl_552,59
553,Dhtl_553,15
554,Dhtl_554,2
555,Dhtl_555,22
556,Dhtl_556,41
557,Dhtl_557,12
558,Dhtl_558,51
559,Dhtl_559,90
560,Dhtl_560,79
561,Dhtl_561,74
562,Dhtl_562,2
563,Dhtl_563,51
564,Dhtl_564,82
565,Dhtl_565,39
566,Dhtl_566,79
567,Dhtl_567,88
568,Dhtl_568,45
569,Dhtl_569,38
570,Dhtl_570,12
571,Dhtl_571,16
572,Dhtl_572,97
573,Dhtl_573,28
574,Dhtl_574,12
575,Dhtl_575,9
576,Dhtl_576,42
577,Dhtl_577,93
578,Dhtl_578,86
579,Dhtl_579,63
580,Dhtl_580,68
581,Dhtl_581,3
582,Dhtl_582,8
583,Dhtl_583,37
584,Dhtl_584,36
585,Dhtl_585,16
586,Dhtl_586,45
587,Dhtl_587,64
588,Dhtl_588,82
589,Dhtl_589,99
590,Dhtl_590,17
591,Dhtl_591,13
592,Dhtl_592,68
593,Dhtl_593,57
594,Dhtl_594,61
595,Dhtl_595,20
596,Dhtl_596,1
597,Dhtl_597,53
598,Dhtl_598,69
599,Dhtl_599,65
600,Dhtl_600,69
601,Dhtl_601,89
602,Dhtl_602,4
603,Dhtl_603,57
604,Dhtl_604,7
605,Dhtl_605,76
606,Dhtl_606,80
607,Dhtl_607,67
608,Dhtl_608,31
609,Dhtl_609,70
610,Dhtl_610,13
611,Dhtl_611,93
612,Dhtl_612,35
613,Dhtl_613,76
614,Dhtl_614,97
615,Dhtl_615,60
616,Dhtl_616,20
617,Dhtl_617,26
618,Dhtl_618,88
619,Dhtl_619,3
620,Dhtl_620,77
621,Dhtl_621,85
622,Dhtl_622,95
623,Dhtl_623,95
624,Dhtl_624,3
625,Dhtl_625,28
626,Dhtl_626,96
627,Dhtl_627,79
628,Dhtl_628,24
629,Dhtl_629,61
630,Dhtl_630,53
631,Dhtl_631,35
632,Dhtl_632,10
633,Dhtl_633,95
634,Dhtl_634,48
635,Dhtl_635,52
636,Dhtl_636,92
637,Dhtl_637,49
638,Dhtl_638,80
639,Dhtl_639,77
640,Dhtl_640,58
641,Dhtl_641,12
642,Dhtl_642,20
643,Dhtl_643,23
644,Dhtl_644,25
645,Dhtl_645,61
646,Dhtl_646,70
647,Dhtl_647,25
648,Dhtl_648,99
649,Dhtl_649,76
650,Dhtl_650,5
651,Dhtl_651,3
652,Dhtl_652,70
653,Dhtl_653,99
654,Dhtl_654,14
655,Dhtl_655,98
656,Dhtl_656,73
657,Dhtl_657,6
658,Dhtl_658,77
659,Dhtl_659,34
660,Dhtl_660,67
661,Dhtl_661,63
662,Dhtl_662,14
663,Dhtl_663,54
664,Dhtl_664,6
665,Dhtl_665,4
666,Dhtl_666,77
667,Dhtl_667,49
668,Dhtl_668,11
669,Dhtl_669,77
670,Dhtl_670,83
671,Dhtl_671,47
672,Dhtl_672,81
673,Dhtl_673,50
674,Dhtl_674,61
675,Dhtl_675,22
676,Dhtl_676,5
677,Dhtl_677,89
678,Dhtl_678,79
679,Dhtl_679,11
680,Dhtl_680,3
681,Dhtl_681,55
682,Dhtl_682,60
683,Dhtl_683,96
684,Dhtl_684,78
685,Dhtl_685,82
686,Dhtl_686,40
687,Dhtl_687,21
688,Dhtl_688,22
689,Dhtl_689,90
690,Dhtl_690,47
691,Dhtl_691,85
692,Dhtl_692,96
693,Dhtl_693,32
694,Dhtl_694,71
695,Dhtl_695,40
696,Dhtl_696,19
697,Dhtl_697,84
698,Dhtl_698,31
699,Dhtl_699,27
700,Dhtl_700,29
701,Dhtl_701,68
702,Dhtl_702,48
703,Dhtl_703,13
704,Dhtl_704,2
705,Dhtl_705,92
706,Dhtl_706,90
707,Dhtl_707,74
708,Dhtl_708,46
709,Dhtl_709,73
710,Dhtl_710,87
711,Dhtl_711,53
712,Dhtl_712,56
713,Dhtl_713,44
714,Dhtl_714,42
715,Dhtl_715,93
716,Dhtl_716,18
717,Dhtl_717,12
718,Dhtl_718,81
719,Dhtl_719,60
720,Dhtl_720,43
721,Dhtl_721,28
722,Dhtl_722,93
723,Dhtl_723,61
724,Dhtl_724,72
725,Dhtl_725,8
726,Dhtl_726,31
727,Dhtl_727,77
728,Dhtl_728,28
729,Dhtl_729,42
730,Dhtl_730,7
731,Dhtl_731,56
732,Dhtl_732,92
733,Dhtl_733,2
734,Dhtl_734,51
735,Dhtl_735,32
736,Dhtl_736,45
737,Dhtl_737,75
738,Dhtl_738,26
739,Dhtl_739,6
740,Dhtl_740,16
741,Dhtl_741,7
742,Dhtl_742,13
743,Dhtl_743,44
744,Dhtl_744,21
745,Dhtl_745,29
746,Dhtl_746,19
747,Dhtl_747,96
748,Dhtl_748,7
749,Dhtl_749,78
750,Dhtl_750,77
751,Dhtl_751,56
752,Dhtl_752,54
753,Dhtl_753,2
754,Dhtl_754,11
755,Dhtl_755,15
756,Dhtl_756,22
757,Dhtl_757,32
758,Dhtl_758,96
759,Dhtl_759,95
760,Dhtl_760,39
761,Dhtl_761,74
762,Dhtl_762,80
763,Dhtl_763,20
764,Dhtl_764,85
765,Dhtl_765,57
766,Dhtl_766,57
767,Dhtl_767,77
768,Dhtl_768,20
769,Dhtl_769,33
770,Dhtl_770,88
771,Dhtl_771,1
772,Dhtl_772,39
773,Dhtl_773,55
774,Dhtl_774,15
775,Dhtl_775,4
776,Dhtl_776,65
777,Dhtl_777,74
778,Dhtl_778,22
779,Dhtl_779,62
780,Dhtl_780,28
781,Dhtl_781,15
782,Dhtl_782,43
783,Dhtl_783,71
784,Dhtl_784,60
785,Dhtl_785,7
786,Dhtl_786,38
787,Dhtl_787,56
788,Dhtl_788,3
789,Dhtl_789,81
790,Dhtl_790,64
791,Dhtl_791,48
792,Dhtl_792,14
793,Dhtl_793,92
794,Dhtl_794,29
795,Dhtl_795,94
796,Dhtl_796,57
797,Dhtl_797,88
798,Dhtl_798,85
799,Dhtl_799,78
800,Dhtl_800,56
801,Dhtl_801,49
802,Dhtl_802,24
803,Dhtl_803,85
804,Dhtl_804,5
805,Dhtl_805,46
806,Dhtl_806,16
807,Dhtl_807,47
808,Dhtl_808,37
809,Dhtl_809,15
810,Dhtl_810,35
811,Dhtl_811,26
812,Dhtl_812,18
813,Dhtl_813,68
814,Dhtl_814,16
815,Dhtl_815,26
816,Dhtl_816,29
817,Dhtl_817,45
818,Dhtl_818,99
819,Dhtl_819,56
820,Dhtl_820,27
821,Dhtl_821,41
822,Dhtl_822,37
823,Dhtl_823,41
824,Dhtl_824,7
825,Dhtl_825,86
826,Dhtl_826,46
827,Dhtl_827,45
828,Dhtl_828,86
829,Dhtl_829,50
830,Dhtl_830,52
831,Dhtl_831,43
832,Dhtl_832,43
833,Dhtl_833,65
834,Dhtl_834,80
835,Dhtl_835,64
836,Dhtl_836,60
837,Dhtl_837,96
838,Dhtl_838,55
839,Dhtl_839,20
840,Dhtl_840,28
841,Dhtl_841,45
842,Dhtl_842,16
843,Dhtl_843,96
844,Dhtl_844,62
845,Dhtl_845,94
846,Dhtl_846,65
847,Dhtl_847,1
848,Dhtl_848,49
849,Dhtl_849,23
850,Dhtl_850,18
851,Dhtl_851,54
852,Dhtl_852,11
853,Dhtl_853,70
854,Dhtl_854,85
855,Dhtl_855,20
856,Dhtl_856,91
857,Dhtl_857,9
858,Dhtl_858,77
859,Dhtl_859,54
860,Dhtl_860,87
861,Dhtl_861,80
862,Dhtl_862,19
863,Dhtl_863,78
864,Dhtl_864,55
865,Dhtl_865,55
866,Dhtl_866,26
867,Dhtl_867,85
868,Dhtl_868,9
869,Dhtl_869,92
870,Dhtl_870,8
871,Dhtl_871,95
872,Dhtl_872,82
873,Dhtl_873,83
874,Dhtl_874,15
875,Dhtl_875,6
876,Dhtl_876,44
877,Dhtl_877,68
878,Dhtl_878,7
879,Dhtl_879,9
880,Dhtl_880,65
881,Dhtl_881,59
882,Dhtl_882,65
883,Dhtl_883,66
884,Dhtl_884,17
885,Dhtl_885,92
886,Dhtl_886,28
887,Dhtl_887,9
888,Dhtl_888,29
889,Dhtl_889,13
890,Dhtl_890,15
891,Dhtl_891,71
892,Dhtl_892,93
893,Dhtl_893,22
894,Dhtl_894,46
895,Dhtl_895,32
896,Dhtl_896,29
897,Dhtl_897,71
898,Dhtl_898,56
899,Dhtl_899,47
900,Dhtl_900,52
901,Dhtl_901,66
902,Dhtl_902,77
903,Dhtl_903,82
904,Dhtl_904,9
905,Dhtl_905,71
906,Dhtl_906,31
907,Dhtl_907,27
908,Dhtl_908,10
909,Dhtl_909,1
910,Dhtl_910,93
911,Dhtl_911,72
912,Dhtl_912,68
913,Dhtl_913,89
914,Dhtl_914,71
915,Dhtl_915,61
916,Dhtl_916,93
917,Dhtl_917,78
918,Dhtl_918,70
919,Dhtl_919,70
920,Dhtl_920,57
921,Dhtl_921,22
922,Dhtl_922,94
923,Dhtl_923,76
924,Dhtl_924,18
925,Dhtl_925,79
926,Dhtl_926,32
927,Dhtl_927,19
928,Dhtl_928,92
929,Dhtl_929,60
930,Dhtl_930,71
931,Dhtl_931,81
932,Dhtl_932,80
933,Dhtl_933,21
934,Dhtl_934,1
935,Dhtl_935,47
936,Dhtl_936,38
937,Dhtl_937,60
938,Dhtl_938,39
939,Dhtl_939,29
940,Dhtl_940,32
941,Dhtl_941,24
942,Dhtl_942,78
943,Dhtl_943,29
944,Dhtl_944,4
945,Dhtl_945,43
946,Dhtl_946,17
947,Dhtl_947,54
948,Dhtl_948,56
949,Dhtl_949,59
950,Dhtl_950,86
951,Dhtl_951,23
952,Dhtl_952,74
953,Dhtl_953,1
954,Dhtl_954,68
955,Dhtl_955,11
956,Dhtl_956,36
957,Dhtl_957,55
958,Dhtl_958,39
959,Dhtl_959,13
960,Dhtl_960,18
961,Dhtl_961,82
962,Dhtl_962,23
963,Dhtl_963,53
964,Dhtl_964,16
965,Dhtl_965,61
966,Dhtl_966,25
967,Dhtl_967,85
968,Dhtl_968,56
969,Dhtl_969,12
970,Dhtl_970,43
971,Dhtl_971,59
972,Dhtl_972,94
973,Dhtl_973,63
974,Dhtl_974,82
975,Dhtl_975,75
976,Dhtl_976,41
977,Dhtl_977,46
978,Dhtl_978,85
979,Dhtl_979,83
980,Dhtl_980,60
981,Dhtl_981,22
982,Dhtl_982,32
983,Dhtl_983,13
984,Dhtl_984,64
985,Dhtl_985,36
986,Dhtl_986,60
987,Dhtl_987,97
988,Dhtl_988,36
989,Dhtl_989,17
990,Dhtl_990,38
991,Dhtl_991,37
992,Dhtl_992,18
993,Dhtl_993,68
994,Dhtl_994,34
995,Dhtl_995,45
996,Dhtl_996,55
997,Dhtl_997,85
998,Dhtl_998,4
999,Dhtl_999,65
1000,Dhtl_1000,31


Jopl lhtisl JNJ mpsl pl ikhopklk ir Ihtisl-Cpsll.jht. Lplpm nl mhk thkl lhtisl mpsll hgk kllhnkjll.
